                                                                    VIRUS STRAIN	               CLADE
                                              A/pigeon/Thailand/VSMU-25-BKK/2005	                   1
                                       A/white_peafowl/Bangkok/Thailand/CU-29/04	                   1
                                                 A/chicken/Kalasin/NIAH3776/2005	                   1
                                                       A/Thailand/LFPN-2004/2004	                   1
                                                  A/chicken/Viet_Nam/TG-023/2004	                   1
                                                      A/chicken/Vietnam/921/2004	                   1
                                                         A/duck/Vietnam/177/2005	                   1
                                   A/open-billed_stork/Nakhonsawan/BBD2616F/2005	                   1
                                              A/dog/Thailand-Suphanburi/KU-08/04	                   1
                                                     A/pigeon/Thailand/TS01/2007	                   1
                                                    A/chicken/Loei/NIAH2373/2004	                   1
                                                            A/Thailand/SP83/2004	                   1
                                          A/chicken/Nakhonsawan/NIAH6006587/2008	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD2316F/05	                   1
                                                       A/chicken/Viet_Nam/2/2005	                   1
                                              A/chicken/Suphanburi/NIAH7540/2004	                   1
                                     A/open-bill_stork/Thailand/VSMU-20-AYA/2004	                   1
                                                  A/chicken/Thailand/ST-351/2008	                   1
                                                          A/Vietnam/UT30259/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD3309M/05	                   1
                                        A/tree_sparrow/Thailand/VSMU-12-KRI/2005	                   1
                                                   A/duck/Viet_Nam/NCVDCDC9/2005	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD1421J/05	                   1
                                                   A/duck/Angthong/NIAH8246/2004	                   1
                                                             A/Vietnam/1196/2004	                   1
                                          A/brown-head_gull/Thailand/vsmu-4/2008	                   1
                                           A/chicken/Nakhon_Sawan/NIAH01503/2004	                   1
                                                         A/duck/Viet_Nam/20/2005	                   1
                                                        A/duck/Vietnam/5003/2005	                   1
                                                       A/Thailand/5_KK-494_/2004	                   1
                                         A/open-billed_stork/Bangkok/LBD0111F/04	                   1
                                                       A/chicken/Vietnam/15/2004	                   1
                                                    A/quail/Vietnam/TG-007B/2004	                   1
                                                       A/chicken/Viet_Nam/1/2004	                   1
                                                  A/chicken/Viet_Nam/LD-080/2004	                   1
                                                 A/crested_eagle/Belgium/01/2004	                   1
                                              A/Duck/Vietnam/Dong_Thap_680D/2005	                   1
                                                    A/duck/Viet_Nam/TG24-01/2005	                   1
                                                        A/chicken/Laos/7192/2004	                   1
                                                    A/egret/Hong_Kong/757.2/2003	                   1
                                                       A/duck/Cambodia/D1KP/2006	                   1
                                   A/open-billed_stork/Nakhonsawan/BBD1521J/2005	                   1
                                                      A/chicken/Vietnam/830/2004	                   1
                                       A/openbill_stork/Thailand/VSMU-8-BKK/2004	                   1
                                                    A/chicken/Thailand/KU14/2004	                   1
                                                       A/tiger/Thailand/CU-T4/04	                   1
                                                       A/duck/Cambodia/D2KC/2006	                   1
                                                        A/Vietnam/UT3047III/2004	                   1
                                                        A/duck/Vietnam/942B/2004	                   1
                                A/chicken/Thailand/Phitsanulok/NIAH6-3-0012/2005	                   1
                                                           A/Vietnam/UT3040/2004	                   1
                                                         A/Prachinburi/6231/2004	                   1
                                     A/open-bill_stork/Thailand/VSMU-15-ATG/2005	                   1
                                                  A/duck/Thailand/ICRC-V629/2008	                   1
                                     A/open-billed_stork/Nakhonsawan/BBA2611M/05	                   1
                                        A/pigeon/Samut_Prakan/Thailand/CU-202/04	                   1
                                                    A/chicken/Thailand/TS02/2006	                   1
                                              A/Duck/Vietnam/Dong_Thap_680H/2005	                   1
                                               A/chicken/Phichit/NIAH606988/2006	                   1
                                                          A/Thailand/Kan353/2004	                   1
                                                     A/tiger/Thailand/CU-T7/2004	                   1
                                                  A/chicken/Thailand/NS-339/2008	                   1
                                                       A/duck/Cambodia/D1KC/2006	                   1
                                      A/openbill_stork/Thailand/VSMU-12-BKK/2003	                   1
                                     A/open-billed_stork/Nakhonsawan/BBA2911M/05	                   1
                                                      A/chicken/Vietnam/890/2004	                   1
                                                A/environment/Viet_Nam/1203/2004	                   1
                                             A/duck/Uthaithani/NIAH6-3-0008/2005	                   1
                                                      A/quail/Thailand/CU-331/06	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD4411M/05	                   1
                                           A/Kalij_pheasant/Thailand/vsmu-1/2008	                   1
                                               A/chicken/Phichit/NIAH600674/2008	                   1
                                                        A/duck/Vietnam/5001/2005	                   1
                                                      A/duck/Vietnam/NCVD04/2005	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD1721J/05	                   1
                                         A/great_barbet/Thailand/VSMU-2-CBI/2005	                   1
                                                    A/egret/Hong_Kong/757.2/2002	                   1
                                    A/open-billed_stork/Suphanburi/TSD0912F/2004	                   1
                                                       A/chicken/Vietnam/18/2004	                   1
                                                       A/chicken/Vietnam/24/2004	                   1
                                                         A/quail/Vietnam/7B/2004	                   1
                                           A/environment/Viet_Nam/NCVDCDC59/2005	                   1
                                                      A/duck/Vietnam/NCVD07/2005	                   1
                                     A/open-bill_stork/Thailand/VSMU-29-NSN/2005	                   1
                                                        A/quail/Angthong/71/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD3616M/05	                   1
                                                A/Tiger/Thailand/VSMU-1-SPB/2004	                   1
                                                         A/duck/Viet_Nam/19/2005	                   1
                                                  A/chicken/Viet_Nam/TN-025/2004	                   1
                                                       A/chicken/Vietnam/10/2004	                   1
                                                        A/Thailand/1_KAN-1_/2004	                   1
                                                      A/chicken/Vietnam/TY9/2005	                   1
                                                  A/chicken/Viet_Nam/Ncvd31/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD4011M/05	                   1
                                                           A/Ck/Thailand/73/2004	                   1
                                                  A/chicken/Thailand/PC-170/2006	                   1
                                                       A/duck/Cambodia/D2KP/2006	                   1
                                      A/open-bill_stork/Thailand/VSMU-9-BKK/2004	                   1
                                                  A/chicken/Thailand/CU-354/2008	                   1
                                              A/Duck/Vietnam/Dong_Thap_680A/2005	                   1
                                                           A/Vietnam/UT3028/2003	                   1
                                        A/green_peafowl/Thailand/VSMU-3-CBI/2005	                   1
                                                    A/chicken/Malaysia/5744/2004	                   1
                                            A/chicken/Suphanburi/NIAH108192/2005	                   1
                                   A/open-billed_stork/Nakhonsawan/BBD0104F/2004	                   1
                                     A/golden_pheasant/Thailand/VSMU-21-SPB/2005	                   1
                                                      A/duck/Vietnam/NCVD06/2005	                   1
                                                       A/Vietnam/UT30408III/2005	                   1
                                                      A/duck/Vietnam/NCVD01/2005	                   1
                                             A/duck/Phetchabun/NIAH6-2-0040/2004	                   1
                                                       A/duck/Hong_Kong/821/2002	                   1
                                                      A/chicken/Vietnam/G04/2004	                   1
                                              A/pigeon/Thailand/VSMU-11-KRI/2005	                   1
                                              A/Chicken/Vietnam/Long_An_636/2005	                   1
                                                           A/Vietnam/UT3035/2003	                   1
                                              A/muscovy_duck/Vietnam/NCVD02/2005	                   1
                                               A/tiger/Thailand/VSMU-11-SPB/2004	                   1
                                          A/chicken/Saraburi_Thailand/CU-17/2004	                   1
                                          A/sparrow/Thailand/Phitsanulok-01/2004	                   1
                                                A/crow/Bangkok/Thailand/CU-15/04	                   1
                                   A/brown-headed_gull/Thailand/VSMU-28-SPK/2005	                   1
                                           A/chicken/Sukhothai/NIAH6-3-0005/2005	                   1
                                               A/tiger/Thailand/VSMU-23-CBI/2004	                   1
                                                        A/chicken/Laos/7191/2004	                   1
                                                  A/chicken/Thailand/NS-341/2008	                   1
                                                        A/Thailand/3_SP-83_/2004	                   1
                                                      A/duck/Cambodia/D14AL/2006	                   1
                                              A/quail/Phathumthani/NIAH2711/2004	                   1
                                                             A/Thailand/676/2005	                   1
